id;photo;photo_content_type;date;state
1;../fake-data/blob/hipster.png;image/png;2024-05-12;ACTIVE
2;../fake-data/blob/hipster.png;image/png;2024-05-12;ACTIVE
3;../fake-data/blob/hipster.png;image/png;2024-05-11;INACTIVE
4;../fake-data/blob/hipster.png;image/png;2024-05-11;ACTIVE
5;../fake-data/blob/hipster.png;image/png;2024-05-12;ACTIVE
6;../fake-data/blob/hipster.png;image/png;2024-05-12;INACTIVE
7;../fake-data/blob/hipster.png;image/png;2024-05-12;INACTIVE
8;../fake-data/blob/hipster.png;image/png;2024-05-11;INACTIVE
9;../fake-data/blob/hipster.png;image/png;2024-05-11;INACTIVE
10;../fake-data/blob/hipster.png;image/png;2024-05-12;INACTIVE
